_id,SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,PriceChange,ResaleDemand,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,YearsSinceExit,AppreciationTrend,AnnualPriceIncrease,AnnualPercentageIncrease
67cdbf4341e4c15d56707735,50680,10353,2025,Normal,Icons,Vehicles,Williams Racing FW14B & Nigel Mansell,10353-1,79.99,799.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,18.0,0.0,62,1666,0,0.0,0.0,2025,1,2027,12,-100.0,0.0,Medium,Exclusive,0.0,-30.0,0,0.0,,
67cdbf4341e4c15d56707736,50919,10355,2025,Normal,Icons,Space System,Blacktron Renegade,10355-1,99.99,1151.0,4.0,Box,LEGO exclusive,38.2,26.2,9.4,1.344,18.0,0.0,1312,2112,5,97.19,0.0,2025,1,2028,12,-2.8002800280027973,0.0,Large,Exclusive,0.0,8.879887988798881,0,0.0,,
67cdbf4341e4c15d56707737,49041,10359,2025,Normal,Icons,Gardens of the World,Fountain Garden,10359-1,99.99,1302.0,0.0,Box,Retail,38.2,26.2,11.8,0.0,18.0,0.0,369,1347,0,65.72,0.0,2025,1,2028,12,-34.27342734273427,0.0,Large,Exclusive,0.0,-3.709370937093709,0,0.0,,
67cdbf4341e4c15d56707738,50681,10362,2025,Normal,Icons,Restaurants of the World,French Café,10362-1,79.99,1101.0,0.0,Box,Retail,38.2,26.2,9.4,0.0,18.0,0.0,18,702,0,0.0,0.0,2025,1,2028,12,-100.0,0.0,Large,Exclusive,0.0,-30.0,0,0.0,,
67cdbf4341e4c15d56707739,50682,10363,2025,Normal,Icons,Miscellaneous,Leonardo da Vinci's Flying Machine,10363-1,49.99,493.0,1.0,Box,Retail,28.2,26.2,5.9,0.0,18.0,0.0,1116,1882,0,48.94,35.99,2025,1,2028,12,-2.100420084016812,1.3598221728257849,Medium,Exclusive,0.0,9.159831966393275,0,0.0,,
67cdbf4341e4c15d5670773a,48952,10368,2024,Normal,Icons,Botanical Collection,Chrysanthemum,10368-1,29.99,278.0,0.0,Box,Retail,19.0,26.0,5.8,0.351,18.0,0.0,5260,1472,5,23.27,0.0,2024,1,2027,12,-22.40746915638546,0.0,Medium,Exclusive,0.0,1.037012337445816,0,0.0,,
67cdbf4341e4c15d5670773b,48953,10369,2024,Normal,Icons,Botanical Collection,Plum Blossom,10369-1,29.99,327.0,0.0,Box,Retail,19.0,26.0,5.8,0.348,18.0,0.0,5455,1482,5,23.47,17.51,2024,1,2027,12,-21.7405801933978,1.340376927470017,Medium,Exclusive,0.0,1.3037679226408798,0,0.0,,
67cdbf4341e4c15d5670773c,48954,10370,2024,Normal,Icons,Botanical Collection,Poinsettia,10370-1,49.99,608.0,0.0,Box,Retail,28.0,26.0,7.6,0.656,18.0,0.0,3690,1373,0,40.15,0.0,2024,1,2027,12,-19.683936787357478,0.0,Medium,Exclusive,0.0,2.1264252850570085,0,0.0,,
67cdbf4341e4c15d5670773d,48804,10391,2024,Normal,Icons,Licensed,Over the Moon with Pharrell Williams,10391-1,109.99,966.0,2.0,Box,LEGO exclusive,0.0,0.0,0.0,0.0,18.0,0.0,398,769,0,101.95,0.0,2024,1,2025,12,-7.309755432312022,0.0,Medium,Exclusive,0.0,7.076097827075191,0,0.0,,
67cdbf4341e4c15d56707744,48423,10412,2024,Normal,Duplo,Farm,Animal Train,10412-1,19.99,19.0,0.0,Box,Retail,35.4,19.1,7.0,0.0,0.0,0.0,128,31,0,17.69,0.0,2024,1,2026,12,-11.505752876438207,0.0,Small,Regular,0.0,-4.602301150575283,0,0.0,,
67cdbf4341e4c15d56707745,48424,10413,2024,Normal,Duplo,Daily Routines,Daily Routines: Bath Time,10413-1,9.99,15.0,0.0,Box,Retail,20.5,19.1,9.2,0.0,0.0,0.0,160,34,0,8.31,0.0,2024,1,2025,12,-16.81681681681681,0.0,Small,Regular,0.0,-6.726726726726724,0,0.0,,
67cdbf4341e4c15d56707746,48425,10414,2024,Normal,Duplo,Daily Routines,Daily Routines: Eating & Bedtime,10414-1,29.99,28.0,0.0,Box,Retail,38.2,26.2,9.4,0.0,0.0,0.0,59,32,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707747,48426,10415,2024,Normal,Duplo,Understanding Feelings,Big Feelings & Emotions,10415-1,29.99,23.0,0.0,Box,Retail,38.2,26.2,7.1,0.0,0.0,0.0,51,21,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707748,48427,10416,2024,Normal,Duplo,Farm,Caring for Animals at the Farm,10416-1,49.99,74.0,2.0,Box,Retail,45.6,28.2,11.8,0.0,2.0,0.0,98,53,3,49.85,0.0,2024,1,2025,12,-0.28005601120224155,0.0,Small,Regular,0.0,-0.11202240448089662,0,0.0,,
67cdbf4341e4c15d56707749,48428,10417,2024,Normal,Duplo,Cars,Mack at the Race,10417-1,19.99,14.0,1.0,Box,Retail,26.2,19.1,9.1,0.362,2.0,0.0,130,74,0,17.28,0.0,2024,1,2025,12,-13.556778389194585,0.0,Small,Regular,0.0,-5.422711355677834,0,0.0,,
67cdbf4341e4c15d5670774a,48429,10418,2024,Normal,Duplo,Frozen II,Elsa & Bruni in the Enchanted Forest,10418-1,29.99,31.0,1.0,Box,Retail,28.2,26.2,7.6,0.474,2.0,0.0,56,50,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670774b,48430,10419,2024,Normal,Duplo,Farm,Caring for Bees & Beehives,10419-1,19.99,22.0,2.0,Box,Retail,26.2,22.2,9.5,0.0,2.0,0.0,186,53,0,15.57,0.0,2024,1,2025,12,-22.111055527763874,0.0,Small,Regular,0.0,-8.84442221110555,0,0.0,,
67cdbf4341e4c15d5670774d,48431,10421,2024,Normal,Duplo,Unknown,Alphabet Truck,10421-1,39.99,36.0,2.0,Box,Retail,38.2,26.2,9.4,0.0,2.0,0.0,94,37,0,34.21,0.0,2024,1,2027,12,-14.45361340335084,0.0,Small,Regular,0.0,-5.781445361340336,0,0.0,,
67cdbf4341e4c15d5670774e,48432,10422,2024,Normal,Duplo,Space,3in1 Space Shuttle Adventure,10422-1,59.99,58.0,2.0,Box,Retail,35.4,37.8,9.4,0.0,3.0,0.0,50,73,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670774f,48433,10423,2024,Normal,Duplo,Understanding Feelings,Buildable People with Big Emotions,10423-1,49.99,71.0,0.0,Box,Retail,37.8,35.4,11.8,0.0,3.0,0.0,30,27,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707750,49138,10424,2024,Normal,Duplo,Spidey and His Amazing Friends,Spin's Motorcycle Adventure,10424-1,19.99,24.0,1.0,Box,Retail,26.2,19.1,7.2,0.0,2.0,0.0,60,36,0,15.8,0.0,2024,1,2025,12,-20.96048024012005,0.0,Small,Regular,0.0,-8.38419209604802,0,0.0,,
67cdbf4341e4c15d56707751,50541,10425,2025,Normal,Duplo,Trains,Train Tunnel and Tracks,10425-1,19.99,20.0,0.0,Box,Retail,28.2,26.2,11.8,0.0,2.0,0.0,20,70,0,0.0,0.0,2025,1,2029,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707752,50542,10426,2025,Normal,Duplo,Trains,Train Bridge and Tracks,10426-1,39.99,42.0,0.0,Box,Retail,54.0,28.2,11.8,0.0,2.0,0.0,14,64,0,0.0,0.0,2025,1,2029,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707753,50543,10427,2025,Normal,Duplo,Trains,Interactive Adventure Train,10427-1,79.99,57.0,0.0,Box,Retail,48.0,37.8,9.4,0.0,2.0,0.0,12,50,0,0.0,0.0,2025,1,2029,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707754,50544,10428,2025,Normal,Duplo,Trains,Big Interactive Community Train,10428-1,139.99,103.0,0.0,Box,Retail,52.3,48.0,12.4,0.0,3.0,0.0,8,53,0,0.0,0.0,2025,1,2029,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707755,49049,10431,2024,Normal,Duplo,Peppa Pig,Peppa Pig Garden and Tree House,10431-1,19.99,20.0,2.0,Box,Retail,26.2,19.1,9.1,0.0,2.0,0.0,112,38,0,28.01,0.0,2024,1,2025,12,40.120060030015026,0.0,Small,Regular,0.0,16.04802401200601,0,0.0,,
67cdbf4341e4c15d56707756,49048,10432,2024,Normal,Duplo,Peppa Pig,Peppa Pig Boat Trip,10432-1,29.99,23.0,2.0,Box,Retail,35.4,19.1,7.0,0.0,2.0,0.0,71,32,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707757,49047,10433,2024,Normal,Duplo,Peppa Pig,Peppa Pig Birthday House,10433-1,39.99,59.0,3.0,Box,Retail,38.2,26.2,9.4,0.0,2.0,0.0,59,39,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707758,49050,10434,2024,Normal,Duplo,Peppa Pig,Peppa Pig Supermarket,10434-1,69.99,70.0,4.0,Box,Retail,54.0,28.2,9.1,0.0,2.0,0.0,47,40,0,0.0,0.0,2024,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707759,49139,10435,2024,Normal,Duplo,Ariel,Ariel's Magical Underwater Palace,10435-1,79.99,116.0,2.0,Box,Retail,55.5,37.8,10.3,0.0,2.0,0.0,19,24,0,0.0,0.0,2024,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670775b,50208,10439,2024,Normal,Duplo,Unknown,Cars and Trucks Brick Box,10439-1,49.99,80.0,2.0,Tub,Retail,37.0,26.2,18.0,0.0,0.0,0.0,15,28,0,0.0,0.0,2024,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670775c,50913,10440,2025,Normal,Duplo,Unknown,Balancing & Stacking Tree,10440-1,19.99,27.0,0.0,Box,Retail,26.2,28.2,9.6,0.0,0.0,0.0,14,15,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670775d,50911,10442,2025,Normal,Duplo,Unknown,Wild Animal Families: Penguins & Lions,10442-1,9.99,10.0,0.0,Box,Retail,19.1,14.1,6.1,0.0,2.0,0.0,56,64,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670775e,50663,10444,2025,Normal,Duplo,Unknown,Creative Garden & Flowers,10444-1,19.99,45.0,0.0,Box,Retail,35.4,19.1,11.8,0.0,2.0,0.0,10,19,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d5670775f,50662,10445,2025,Normal,Duplo,Formula 1,F1 Team Racing Cars & Drivers,10445-1,44.99,70.0,0.0,Box,Retail,54.0,28.2,7.9,0.0,2.0,0.0,23,66,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707760,50912,10446,2025,Normal,Duplo,Unknown,3in1 Wild Animal Families,10446-1,79.99,92.0,0.0,Box,Retail,48.0,37.8,11.2,0.0,2.0,0.0,14,39,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707761,50664,10447,2025,Normal,Duplo,Unknown,Ambulance Driver ,10447-1,19.99,19.0,0.0,Box,Retail,26.2,19.1,9.1,0.0,2.0,0.0,22,26,0,0.0,0.0,2025,1,2025,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707762,50665,10449,2025,Normal,Duplo,First Time,First Time: Visit with the Doctor ,10449-1,39.99,65.0,0.0,Box,Retail,38.2,26.2,11.8,0.0,2.0,0.0,10,17,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707763,50666,10452,2025,Normal,Duplo,Peppa Pig,Camping Trip,10452-1,19.99,32.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,2.0,0.0,4,10,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
67cdbf4341e4c15d56707764,50667,10453,2025,Normal,Duplo,Peppa Pig,Funfair,10453-1,49.99,53.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,2.0,0.0,4,10,0,0.0,0.0,2025,1,2026,12,-100.0,0.0,Small,Regular,0.0,-40.0,0,0.0,,
